n,N
3,0.0
4,0.0
5,0.03940886699507389
6,0.017241379310344827
7,0.019120458891013385
8,0.008572653236176597
9,0.009113825867752568
10,0.004155614500442086
11,0.004343942838583956
12,0.00200693988558567
13,0.0020911934615351103
14,0.0009761970616468445
