n,N
3,0.3055555555555556
4,0.2413793103448276
5,0.18719211822660098
6,0.14655172413793102
7,0.11759082217973231
8,0.09729961423060438
9,0.08299398875315106
10,0.0726790450928382
11,0.06499675219227022
12,0.05906405326831098
13,0.054318750163374487
14,0.050404308283032065
