n,N
3,0.0
4,0.05747126436781609
5,0.024630541871921183
6,0.023706896551724137
7,0.010516252390057362
8,0.009001285897985427
9,0.004072134962187318
10,0.0033598585322723255
11,0.0015427086716466385
12,0.0012754384319609866
13,0.0005925048141016146
14,0.0005003009940940078
