n,N
3,0.5555555555555556
4,0.5402298850574713
5,0.5270935960591133
6,0.5172413793103449
7,0.5105162523900574
8,0.506215173596228
9,0.5035873569904984
10,0.5020335985853227
11,0.5011367327054238
12,0.5006283409922161
13,0.5003441755905443
14,0.5001871044368157
